symbol,country,currency,exchange_code,pea_eligible
AIR.PA,FR,EUR,PA,true
TTE.PA,FR,EUR,PA,true
MC.PA,FR,EUR,PA,true
OR.PA,FR,EUR,PA,true
SAN.PA,FR,EUR,PA,true
BNP.PA,FR,EUR,PA,true
DG.PA,FR,EUR,PA,true
CAP.PA,FR,EUR,PA,true
ENGI.PA,FR,EUR,PA,true
ORA.PA,FR,EUR,PA,true
ASML.AS,NL,EUR,AMS,false
AD.AS,NL,EUR,AMS,false
SAP.DE,DE,EUR,XETRA,false
SIE.DE,DE,EUR,XETRA,false
ALV.DE,DE,EUR,XETRA,false
SHEL.L,GB,GBP,LSE,false
HSBA.L,GB,GBP,LSE,false
NESN.SW,CH,CHF,SWX,false
NOVN.SW,CH,CHF,SWX,false
ROG.SW,CH,CHF,SWX,false
